provincia_id,provincia_nombre,departamento_id,departamento_nombre,anio,delitos_propiedad_hechos
2,ciudad autónoma de buenos aires,2001,comuna 1,2000,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2001,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2002,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2003,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2004,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2005,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2006,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2007,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2008,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2009,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2010,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2011,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2012,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2013,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2014,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2015,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2016,0
2,ciudad autónoma de buenos aires,2001,comuna 1,2017,17609
2,ciudad autónoma de buenos aires,2001,comuna 1,2018,18374
2,ciudad autónoma de buenos aires,2001,comuna 1,2019,21721
2,ciudad autónoma de buenos aires,2001,comuna 1,2020,9773
2,ciudad autónoma de buenos aires,2001,comuna 1,2021,13012
2,ciudad autónoma de buenos aires,2001,comuna 1,2022,20959
2,ciudad autónoma de buenos aires,2001,comuna 1,2023,23541
2,ciudad autónoma de buenos aires,2001,comuna 1,2024,24297
2,ciudad autónoma de buenos aires,2002,comuna 2,2000,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2001,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2002,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2003,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2004,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2005,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2006,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2007,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2008,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2009,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2010,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2011,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2012,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2013,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2014,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2015,0
2,ciudad autónoma de buenos aires,2002,comuna 2,2016,0
