redcode,ndpto_0,redcoden_1,
02007,Comuna 1,2007,
02014,Comuna 2,2014,
02021,Comuna 3,2021,
02028,Comuna 4,2028,
02035,Comuna 5,2035,
02042,Comuna 6,2042,
02049,Comuna 7,2049,
02056,Comuna 8,2056,
02063,Comuna 9,2063,
02070,Comuna 10,2070,
02077,Comuna 11,2077,
02084,Comuna 12,2084,
02091,Comuna 13,2091,
02098,Comuna 14,2098,
02105,Comuna 15,2105,
06007,Adolfo Alsina,6007,
06014,Adolfo Gonzales Chaves,6014,
06021,Alberti,6021,
06028,Almirante Brown,6028,
06035,Avellaneda,6035,
06042,Ayacucho,6042,
06049,Azul,6049,
06056,Bahía Blanca,6056,
06063,Balcarce,6063,
06070,Baradero,6070,
06077,Arrecifes,6077,
06084,Benito Juárez,6084,
06091,Berazategui,6091,
06098,Berisso,6098,
06105,Bolívar,6105,
06112,Bragado,6112,
06119,Brandsen,6119,
06126,Campana,6126,
06134,Ca˝uelas,6134,
06140,Capitán Sarmiento,6140,
06147,Carlos Casares,6147,
06154,Carlos Tejedor,6154,
06161,Carmen de Areco,6161,
06168,Castelli,6168,
06175,Colón,6175,
06182,Coronel de Marina Leonardo Rosales,6182,
06189,Coronel Dorrego,6189,
06196,Coronel Pringles,6196,
06203,Coronel Suárez,6203,
06210,Chacabuco,6210,
06218,Chascomús,6218,
06224,Chivilcoy,6224,
06231,Daireaux,6231,
06238,Dolores,6238,
06245,Ensenada,6245,
06252,Escobar,6252,
06260,Esteban Echeverrķa,6260,
06266,Exaltación de la Cruz,6266,
06270,Ezeiza,6270,
06274,Florencio Varela,6274,
06277,Florentino Ameghino,6277,
06280,General Alvarado,6280,
06287,General Alvear,6287,
06294,General Arenales,6294,
06301,General Belgrano,6301,
06308,General Guido,6308,
06315,General Juan Madariaga,6315,
06322,General La Madrid,6322,
06329,General Las Heras,6329,
06336,General Lavalle,6336,
06343,General Paz,6343,
06351,General Pinto,6351,
06357,General Pueyrredón,6357,
06364,General Rodríguez,6364,
06371,General San Martín,6371,
06385,General Viamonte,6385,
06392,General Villegas,6392,
06399,Guaminí,6399,
06406,Hipólito Yrigoyen,6406,
06408,Hurlingham,6408,
06410,Ituzaingˇ,6410,
06412,Josť C. Paz,6412,
06413,Junín,6413,
06420,La Costa,6420,
06427,La Matanza,6427,
06434,Lanús,6434,
06441,La Plata,6441,
06448,Laprida,6448,
06455,Las Flores,6455,
06462,Leandro N. Alem,6462,
06466,Lezama,6466,
06469,Lincoln,6469,
06476,Loberķa,6476,
06483,Lobos,6483,
06490,Lomas de Zamora,6490,
06497,LujŠn,6497,
06505,Magdalena,6505,
06511,Maipú,6511,
06515,Malvinas Argentinas,6515,
06518,Mar Chiquita,6518,
06525,Marcos Paz,6525,
06532,Mercedes,6532,
06539,Merlo,6539,
06547,Monte,6547,
06553,Monte Hermoso,6553,
06560,Moreno,6560,
06568,Morón,6568,
06574,Navarro,6574,
06581,Necochea,6581,
06588,9 de Julio,6588,
06595,Olavarrķa,6595,
06602,Patagones,6602,
06609,Pehuajó,6609,
06616,Pellegrini,6616,
06623,Pergamino,6623,
06630,Pila,6630,
06638,Pilar,6638,
06644,Pinamar,6644,
06648,Presidente Perón,6648,
06651,Puan,6651,
06655,Punta Indio,6655,
06658,Quilmes,6658,
06665,Ramallo,6665,
06672,Rauch,6672,
06679,Rivadavia,6679,
06686,Rojas,6686,
