redcode,count_persona_0,
02007,221001,
02014,160609,
02021,193537,
02028,227024,
02035,192449,
02042,201764,
02049,213262,
02056,203888,
02063,167908,
02070,171896,
02077,201905,
02084,235364,
02091,262330,
02098,247252,
02105,195265,
06007,17344,
06014,12847,
06021,12906,
06028,583209,
06035,366117,
06042,21757,
06049,75152,
06056,334505,
06063,48516,
06070,39223,
06077,32077,
06084,21185,
06091,358328,
06098,100685,
06105,37194,
06112,46227,
06119,32350,
06126,107976,
06134,70542,
06140,15882,
06147,22905,
06154,14007,
06161,17345,
06168,9551,
06175,27406,
06182,65823,
06189,15795,
06196,24110,
06203,41713,
06210,52409,
06218,42191,
06224,70554,
06231,18328,
06238,31405,
06245,63978,
06252,256071,
06260,337880,
06266,40036,
06270,198620,
06274,488103,
06277,10759,
06280,45307,
06287,10150,
06294,16231,
06301,20674,
06308,3157,
06315,22566,
06322,11535,
06329,17980,
06336,4846,
06343,14141,
06351,12842,
06357,660569,
06364,142315,
06371,444503,
06385,22530,
06392,35055,
06399,11662,
06406,10581,
06408,185361,
06410,177983,
06412,326527,
06413,100964,
06420,100400,
06427,1837168,
06434,460081,
06441,756074,
06448,11496,
06455,27136,
06462,17153,
06466,6170,
06469,45191,
06476,18106,
06483,41418,
06490,685644,
06497,110111,
06505,22653,
06511,11253,
06515,349401,
06518,32973,
06525,64761,
06532,71002,
06539,581484,
06547,24616,
06553,8444,
06560,575758,
06568,329517,
06574,19888,
06581,101483,
06588,52366,
06595,122011,
06602,37499,
06609,44594,
06616,7112,
06623,114988,
06630,4615,
06638,393614,
06644,39224,
06648,101994,
06651,16391,
06655,12161,
06658,631774,
06665,39648,
06672,16491,
06679,19735,
06686,25619,
06693,13901,
06700,21407,
06707,35423,
06714,39257,
06721,9344,
06728,26399,
06735,26695,
06742,8918,
06749,171099,
06756,295978,
06760,327650,
06763,166657,
06770,68353,
06778,97929,
06784,11736,
06791,144678,
06798,10695,
06805,446291,
06812,2528,
06819,14591,
06826,49128,
06833,61889,
06840,362319,
06847,9090,
06854,35411,
06861,280541,
06868,37325,
06875,32552,
06882,131415,
10007,5087,
10014,3282,
10021,19545,
10028,1822,
10035,30353,
10042,19471,
10049,186466,
10056,4375,
10063,14624,
10070,26341,
10077,4696,
10084,12219,
10091,26822,
10098,13317,
10105,25254,
10112,33951,
14007,75462,
14014,1498060,
14021,294511,
14028,64748,
14035,36064,
14042,152397,
14049,36023,
14056,68317,
14063,107286,
14070,4855,
14077,5070,
14084,37551,
14091,219494,
14098,277979,
14105,58181,
14112,15275,
14119,113311,
14126,42029,
14133,62700,
14140,228951,
14147,139012,
14154,4381,
14161,120207,
14168,22473,
14175,14092,
14182,113635,
18007,44369,
18014,2808,
18021,437446,
18028,26270,
18035,51489,
18042,17948,
18049,39168,
18056,9051,
18063,17016,
18070,106223,
18077,11946,
18084,38767,
18091,40406,
18098,11541,
18105,49807,
18112,45602,
18119,56778,
18126,29126,
18133,19679,
18140,21381,
18147,15164,
18154,12700,
18161,22682,
18168,71922,
18175,10382,
22007,37794,
22014,28060,
22021,101086,
22028,34493,
22036,23179,
22039,8310,
22043,10643,
22049,12807,
22056,15061,
22063,68429,
22070,21948,
22077,13775,
22084,65304,
22091,26354,
22098,59798,
22105,30223,
22112,21544,
22119,13938,
22126,14265,
22133,32430,
22140,413764,
22147,16045,
22154,18696,
22161,4051,
22168,32606,
26007,102806,
26014,28099,
26021,214829,
26028,1782,
26035,49965,
26042,12505,
26049,1181,
26056,2862,
26063,744,
26070,1882,
26077,144420,
26084,6347,
26091,14477,
26098,5947,
26105,1608,
30008,74890,
30015,197603,
30021,52312,
30028,78264,
30035,29436,
30042,16717,
30049,56796,
30056,125176,
30063,13984,
30070,75271,
30077,42954,
30084,388716,
30088,20786,
30091,31091,
30098,115516,
30105,40301,
30113,55284,
