redcode,nprov_0,ndpto_1,redcoden_2,
02007,Caba,Comuna 1,2007,
02014,Caba,Comuna 2,2014,
02021,Caba,Comuna 3,2021,
02028,Caba,Comuna 4,2028,
02035,Caba,Comuna 5,2035,
02042,Caba,Comuna 6,2042,
02049,Caba,Comuna 7,2049,
02056,Caba,Comuna 8,2056,
02063,Caba,Comuna 9,2063,
02070,Caba,Comuna 10,2070,
02077,Caba,Comuna 11,2077,
02084,Caba,Comuna 12,2084,
02091,Caba,Comuna 13,2091,
02098,Caba,Comuna 14,2098,
02105,Caba,Comuna 15,2105,
06007,Buenos Aires,Adolfo Alsina,6007,
06014,Buenos Aires,Adolfo Gonzales Chaves,6014,
06021,Buenos Aires,Alberti,6021,
06028,Buenos Aires,Almirante Brown,6028,
06035,Buenos Aires,Avellaneda,6035,
06042,Buenos Aires,Ayacucho,6042,
06049,Buenos Aires,Azul,6049,
06056,Buenos Aires,Bahía Blanca,6056,
06063,Buenos Aires,Balcarce,6063,
06070,Buenos Aires,Baradero,6070,
06077,Buenos Aires,Arrecifes,6077,
06084,Buenos Aires,Benito Juárez,6084,
06091,Buenos Aires,Berazategui,6091,
06098,Buenos Aires,Berisso,6098,
06105,Buenos Aires,Bolívar,6105,
06112,Buenos Aires,Bragado,6112,
06119,Buenos Aires,Brandsen,6119,
06126,Buenos Aires,Campana,6126,
06134,Buenos Aires,Ca˝uelas,6134,
06140,Buenos Aires,Capitán Sarmiento,6140,
06147,Buenos Aires,Carlos Casares,6147,
06154,Buenos Aires,Carlos Tejedor,6154,
06161,Buenos Aires,Carmen de Areco,6161,
06168,Buenos Aires,Castelli,6168,
06175,Buenos Aires,Colón,6175,
06182,Buenos Aires,Coronel de Marina Leonardo Rosales,6182,
06189,Buenos Aires,Coronel Dorrego,6189,
06196,Buenos Aires,Coronel Pringles,6196,
06203,Buenos Aires,Coronel Suárez,6203,
06210,Buenos Aires,Chacabuco,6210,
06218,Buenos Aires,Chascomús,6218,
06224,Buenos Aires,Chivilcoy,6224,
06231,Buenos Aires,Daireaux,6231,
06238,Buenos Aires,Dolores,6238,
06245,Buenos Aires,Ensenada,6245,
06252,Buenos Aires,Escobar,6252,
06260,Buenos Aires,Esteban Echeverrķa,6260,
06266,Buenos Aires,Exaltación de la Cruz,6266,
06270,Buenos Aires,Ezeiza,6270,
06274,Buenos Aires,Florencio Varela,6274,
06277,Buenos Aires,Florentino Ameghino,6277,
06280,Buenos Aires,General Alvarado,6280,
06287,Buenos Aires,General Alvear,6287,
06294,Buenos Aires,General Arenales,6294,
06301,Buenos Aires,General Belgrano,6301,
06308,Buenos Aires,General Guido,6308,
06315,Buenos Aires,General Juan Madariaga,6315,
06322,Buenos Aires,General La Madrid,6322,
06329,Buenos Aires,General Las Heras,6329,
06336,Buenos Aires,General Lavalle,6336,
06343,Buenos Aires,General Paz,6343,
06351,Buenos Aires,General Pinto,6351,
06357,Buenos Aires,General Pueyrredón,6357,
06364,Buenos Aires,General Rodríguez,6364,
06371,Buenos Aires,General San Martín,6371,
06385,Buenos Aires,General Viamonte,6385,
06392,Buenos Aires,General Villegas,6392,
06399,Buenos Aires,Guaminí,6399,
06406,Buenos Aires,Hipólito Yrigoyen,6406,
06408,Buenos Aires,Hurlingham,6408,
06410,Buenos Aires,Ituzaingˇ,6410,
06412,Buenos Aires,Josť C. Paz,6412,
06413,Buenos Aires,Junín,6413,
06420,Buenos Aires,La Costa,6420,
06427,Buenos Aires,La Matanza,6427,
06434,Buenos Aires,Lanús,6434,
06441,Buenos Aires,La Plata,6441,
06448,Buenos Aires,Laprida,6448,
06455,Buenos Aires,Las Flores,6455,
06462,Buenos Aires,Leandro N. Alem,6462,
06466,Buenos Aires,Lezama,6466,
06469,Buenos Aires,Lincoln,6469,
06476,Buenos Aires,Loberķa,6476,
06483,Buenos Aires,Lobos,6483,
06490,Buenos Aires,Lomas de Zamora,6490,
06497,Buenos Aires,LujŠn,6497,
06505,Buenos Aires,Magdalena,6505,
06511,Buenos Aires,Maipú,6511,
06515,Buenos Aires,Malvinas Argentinas,6515,
06518,Buenos Aires,Mar Chiquita,6518,
06525,Buenos Aires,Marcos Paz,6525,
06532,Buenos Aires,Mercedes,6532,
06539,Buenos Aires,Merlo,6539,
06547,Buenos Aires,Monte,6547,
06553,Buenos Aires,Monte Hermoso,6553,
06560,Buenos Aires,Moreno,6560,
06568,Buenos Aires,Morón,6568,
06574,Buenos Aires,Navarro,6574,
06581,Buenos Aires,Necochea,6581,
06588,Buenos Aires,9 de Julio,6588,
06595,Buenos Aires,Olavarrķa,6595,
06602,Buenos Aires,Patagones,6602,
06609,Buenos Aires,Pehuajó,6609,
06616,Buenos Aires,Pellegrini,6616,
06623,Buenos Aires,Pergamino,6623,
